level,difficulty_functions,operations,n_functions,releaseInterval,speedup,bonus,balloon_lifetime_min,balloon_lifetime_max,functions_raw,operations_parsed,has_addition,has_subtraction,has_multiplication,has_division,has_fraction,has_percentage,pred_b,pred_a,a,b,has_irt
1,"[1, 1, 1]",['addition'],3,3200.0,0,0.0,10000,12000,"[{'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]",['addition'],1,0,0,0,0,0,-3.6027668409701974,2.045198554763312,,,0
2,"[2, 1, 2]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]","['addition', 'subtraction']",1,1,0,0,0,0,-2.5806204213275876,1.8797639973270837,1.80642696812367,-2.97857544323789,1
3,"[3, 2, 1]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]","['addition', 'subtraction']",1,1,0,0,0,0,-2.5806204213275876,1.8797639973270837,2.38410504983737,-3.03424959386054,1
4,"[4, 3, 2]","['addition', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}, {'operation': 'subtraction', 'left': [4, 5, 6, 7, 8, 9], 'right': [2, 3, 4, 5, 6, 7, 8], 'maxlimit': 9}]","['addition', 'subtraction']",1,1,0,0,0,0,-2.5806204213275876,1.8797639973270837,1.73812247044942,-2.67131239263881,1
5,"[5, 4, 3]","['addition', 'multiplication', 'subtraction']",3,2500.0,0,0.0,10000,12000,"[{'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}, {'operation': 'addition', 'left': [2, 3, 4, 5, 6, 7, 8], 'right': [2, 3, 4, 5, 6, 7, 8], 'minlimit': 10}]","['addition', 'multiplication', 'subtraction']",1,1,1,0,0,0,-2.3664469001997706,2.5562221764352584,1.85414884001801,-1.98664364829,1
6,"[6, 5, 4]","['division', 'multiplication', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'subtraction', 'left': {'min': 10, 'max': 16}, 'right': [2, 3, 4, 5, 6, 7, 8, 9], 'maxlimit': 9}]","['division', 'multiplication', 'subtraction']",0,1,1,1,0,0,-1.0674144120779925,3.4905690395027014,2.07280801120734,-1.29549663465827,1
7,"[7, 6, 5]","['addition', 'division', 'multiplication']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}, {'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}, {'operation': 'multiplication', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}]","['addition', 'division', 'multiplication']",1,0,1,1,0,0,-0.8748979719030032,3.9054183084957153,2.78098392769502,-1.10582218397462,1
8,"[8, 7, 6]","['addition', 'division', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}, {'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}, {'operation': 'division', 'left': [2, 3, 4, 5, 10], 'right': [2, 3, 4, 5, 6, 8]}]","['addition', 'division', 'subtraction']",1,1,0,1,0,0,-1.189535049561739,1.5125042739094559,2.91320220429956,-0.844614445511026,1
9,"[9, 8, 7]","['addition', 'fraction', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}, {'operation': 'addition', 'left': {'min': 11, 'max': 30}, 'right': {'min': 1, 'max': 9}}]","['addition', 'fraction', 'subtraction']",1,1,0,0,1,0,-0.8814115111015344,2.025796014027831,3.16727871279377,-0.767331300968459,1
10,"[10, 9, 8]","['addition', 'fraction', 'subtraction']",3,2500.0,-1000,400.0,11000,13000,"[{'operation': 'addition', 'left': {'min': 11, 'max': 60}, 'right': {'min': 11, 'max': 30}}, {'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 1, 'max': 9}, 'minlimit': 12}]","['addition', 'fraction', 'subtraction']",1,1,0,0,1,0,-0.8814115111015344,2.025796014027831,3.56036023406699,-0.534388001416365,1
11,"[11, 10, 9]","['addition', 'fraction', 'percentage']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'percentage', 'left': [10, 20, 50], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'addition', 'left': {'min': 11, 'max': 60}, 'right': {'min': 11, 'max': 30}}, {'operation': 'fraction', 'left': ['1/4', '1/2', '1/3', '1/5'], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}]","['addition', 'fraction', 'percentage']",1,0,0,0,1,1,1.255375749459434,6.750220797459358,3.356185777675,0.0735151513962049,1
12,"[12, 11, 10]","['addition', 'percentage', 'subtraction']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'subtraction', 'left': {'min': 21, 'max': 70}, 'right': {'min': 11, 'max': 30}}, {'operation': 'percentage', 'left': [10, 20, 50], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}, {'operation': 'addition', 'left': {'min': 11, 'max': 60}, 'right': {'min': 11, 'max': 30}}]","['addition', 'percentage', 'subtraction']",1,1,0,0,0,1,0.8686933559384773,4.379012224096201,3.53057376028914,0.457398961106957,1
13,"[13, 12, 11]","['addition', 'percentage', 'subtraction']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'addition', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}, {'operation': 'subtraction', 'left': {'min': 21, 'max': 70}, 'right': {'min': 11, 'max': 30}}, {'operation': 'percentage', 'left': [10, 20, 50], 'right': [2, 3, 4, 5, 6, 7, 8, 9]}]","['addition', 'percentage', 'subtraction']",1,1,0,0,0,1,0.8686933559384773,4.379012224096201,3.19207141366698,0.512018059037736,1
14,"[14, 13, 12]","['addition', 'multiplication', 'subtraction']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'multiplication', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}, {'operation': 'addition', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}, {'operation': 'subtraction', 'left': {'min': 21, 'max': 70}, 'right': {'min': 11, 'max': 30}}]","['addition', 'multiplication', 'subtraction']",1,1,1,0,0,0,1.008622716982961,3.872779361633796,3.72745963160761,0.657170514662413,1
15,"[15, 14, 13]","['addition', 'multiplication']",3,4000.0,-2500,0.0,12500,14500,"[{'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}}, {'operation': 'multiplication', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}, {'operation': 'addition', 'left': [20, 30, 40, 50, 60, 70, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}]","['addition', 'multiplication']",1,0,1,0,0,0,1.1090862735138831,5.589235217111881,5.24384844070909,0.609099213445006,1
16,"[16, 15, 14]","['addition', 'multiplication', 'percentage']",3,4000.0,-2000,0.0,12000,14000,"[{'operation': 'percentage', 'left': [10, 20, 25, 40], 'right': [4, 5, 6, 8, 10, 12, 15]}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}}, {'operation': 'multiplication', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}]","['addition', 'multiplication', 'percentage']",1,0,1,0,0,1,0.027197948943436856,5.843891408196244,6.90444718727003,0.541319138094384,1
17,"[17, 16, 15]","['addition', 'percentage', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 75, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}, {'operation': 'percentage', 'left': [10, 20, 25, 40], 'right': [4, 5, 6, 8, 10, 12, 15]}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}}]","['addition', 'percentage', 'subtraction']",1,1,0,0,0,1,1.5029450822326336,8.601816817618579,4.39556703627516,0.941849270305787,1
18,"[18, 17, 16]","['fraction', 'percentage', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'fraction', 'left': ['1/3', '2/3', '1/5', '2/5', '3/5', '4/5', '1/8', '3/8'], 'right': {'min': 6, 'max': 20}}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 75, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}, {'operation': 'percentage', 'left': [10, 20, 25, 40], 'right': [4, 5, 6, 8, 10, 12, 15]}]","['fraction', 'percentage', 'subtraction']",0,1,0,0,1,1,1.6971110355785992,10.558176121988723,5.16453575963122,1.02670193168645,1
19,"[19, 18, 17]","['fraction', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}}, {'operation': 'fraction', 'left': ['1/3', '2/3', '1/5', '2/5', '3/5', '4/5', '1/8', '3/8'], 'right': {'min': 6, 'max': 20}}, {'operation': 'subtraction', 'left': [20, 30, 40, 50, 60, 70, 75, 80, 90], 'right': {'min': 11, 'max': 30}, 'decimal': 10.0}]","['fraction', 'subtraction']",0,1,0,0,1,0,1.622866875495271,9.375485080418143,5.6343758677972,1.20710936056622,1
20,"[20, 19, 18]","['division', 'fraction', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'division', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}, {'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}}, {'operation': 'fraction', 'left': ['1/3', '2/3', '1/5', '2/5', '3/5', '4/5', '1/8', '3/8'], 'right': {'min': 6, 'max': 20}}]","['division', 'fraction', 'subtraction']",0,1,0,1,1,0,1.6009621740251045,9.51694605818484,5.12008873690587,1.48497190577081,1
21,"[21, 20, 19]","['addition', 'division', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}, 'decimal': 10.0}, {'operation': 'division', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}, {'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}}]","['addition', 'division', 'subtraction']",1,1,0,1,0,0,1.4067962206791353,7.560586753814697,5.78570771471958,1.67279042832421,1
22,"[22, 21, 20]","['addition', 'division', 'multiplication']",3,,0,0.0,10000,12000,"[{'operation': 'multiplication', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}, 'decimal': 10.0}, {'operation': 'division', 'left': [4, 6, 7, 8, 9, 11, 12], 'right': {'min': 3, 'max': 12}}]","['addition', 'division', 'multiplication']",1,0,1,1,0,0,1.7214332983378693,9.953500788400957,10.2919706691883,1.4115908808876,1
23,"[23, 22, 21]","['addition', 'multiplication', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}, 'decimal': 10.0}, {'operation': 'multiplication', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 50}, 'decimal': 10.0}]","['addition', 'multiplication', 'subtraction']",1,1,1,0,0,0,1.6428744432771207,8.095583955156174,10.4197141872638,1.56881012709268,1
24,"[24, 23, 22]","['division', 'multiplication', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'division', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}, {'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}, 'decimal': 10.0}, {'operation': 'multiplication', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}]","['division', 'multiplication', 'subtraction']",0,1,1,1,0,0,1.5289168581628818,9.538651519407942,12.0603527841683,1.61801479033214,1
25,"[25, 24, 23]","['division', 'fraction', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'fraction', 'left': ['1/5', '2/5', '3/5', '4/5', '1/6', '5/6', '1/8', '3/8', '5/8', '7/8'], 'right': {'min': 11, 'max': 50}}, {'operation': 'division', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}, {'operation': 'subtraction', 'left': {'min': 111, 'max': 899}, 'right': {'min': 11, 'max': 60}, 'decimal': 10.0}]","['division', 'fraction', 'subtraction']",0,1,0,1,1,0,1.6009621740251045,9.51694605818484,11.9852088221653,1.7619820722345,1
26,"[26, 25, 24]","['division', 'fraction', 'percentage']",3,,0,0.0,10000,12000,"[{'operation': 'percentage', 'left': [15, 30, 40, 60, 70, 80, 85], 'right': [30, 40, 50, 60, 70, 80, 90]}, {'operation': 'fraction', 'left': ['1/5', '2/5', '3/5', '4/5', '1/6', '5/6', '1/8', '3/8', '5/8', '7/8'], 'right': {'min': 11, 'max': 50}}, {'operation': 'division', 'left': {'min': 7, 'max': 19}, 'right': {'min': 4, 'max': 20}}]","['division', 'fraction', 'percentage']",0,0,0,1,1,1,1.7756698906393549,12.416092955233506,14.5423538625521,1.7775716674512,1
27,"[27, 26, 25]","['addition', 'fraction', 'percentage']",3,,0,0.0,10000,12000,"[{'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}}, {'operation': 'percentage', 'left': [15, 30, 40, 60, 70, 80, 85], 'right': [30, 40, 50, 60, 70, 80, 90]}, {'operation': 'fraction', 'left': ['1/5', '2/5', '3/5', '4/5', '1/6', '5/6', '1/8', '3/8', '5/8', '7/8'], 'right': {'min': 11, 'max': 50}}]","['addition', 'fraction', 'percentage']",1,0,0,0,1,1,1.8896274757535902,10.973025390981737,10.2886290600808,2.0148346958436,1
28,"[28, 27, 26]","['addition', 'percentage', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 212, 'max': 899}, 'right': {'min': 111, 'max': 899}}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}}, {'operation': 'percentage', 'left': [15, 30, 40, 60, 70, 80, 85], 'right': [30, 40, 50, 60, 70, 80, 90]}]","['addition', 'percentage', 'subtraction']",1,1,0,0,0,1,1.5029450822326336,8.601816817618579,12.3367757488482,1.90834926302152,1
29,"[29, 28, 27]","['addition', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}, 'decimal': 100.0}, {'operation': 'subtraction', 'left': {'min': 212, 'max': 899}, 'right': {'min': 111, 'max': 899}}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}}]","['addition', 'subtraction']",1,1,0,0,0,0,1.4287009221493019,7.4191257760479985,,,0
30,"[30, 29, 28]","['addition', 'subtraction']",3,,0,0.0,10000,12000,"[{'operation': 'subtraction', 'left': {'min': 212, 'max': 899}, 'right': {'min': 111, 'max': 899}, 'decimal': 100.0}, {'operation': 'addition', 'left': {'min': 111, 'max': 899}, 'right': {'min': 111, 'max': 899}, 'decimal': 100.0}, {'operation': 'subtraction', 'left': {'min': 212, 'max': 899}, 'right': {'min': 111, 'max': 899}}]","['addition', 'subtraction']",1,1,0,0,0,0,1.4287009221493019,7.4191257760479985,,,0
